Elevation ,Time,height(km),values ms-1,Core diameter (km),Shear
0.5,0014,0.59,8,0.9,M
0.9,0014,0.94,8,0.74,M
1.3,0014,1.24,9,0.74,M
0.5,0018,0.5,13,2.59,M
0.9,0018,0.8,12,2.96,M
1.3,0018,1.1,13,3.51,M
0.5,0023,0.42,11,2.59,M
0.9,0023,0.69,11,3.51,M
1.3,0023,0.94,12,3.7,M
1.8,0023,1.24,12,4.44,M
0.5,0027,0.39,14,3.3,M
0.9,0027,0.59,13,3.8,M
1.3,0027,0.75,13,4.6,M
1.8,0027,0.92,14,5.1,M
2.4,0027,1.21,13,5.8,M
3.1,0027,1.55,13,6.3,M
0.5,0032,0.32,14,3.8,M
0.9,0032,0.42,17,4.05,M
1.3,0032,0.58,14,4.44,M
1.8,0032,0.69,16,4.81,M
2.4,0032,0.9,15,5.92,M
3.1,0032,1.1,15,7.5,M
0.5,0037,M,M,M,M
0.9,0037,0.3,16,6.9,M
1.3,0037,0.35,15,7.2,M
1.8,0037,0.41,16,7.3,M
2.4,0037,0.5,16,7.4,M
3.1,0037,0.61,16,7.52,M
4,0037,0.8,16,7.96,M
0.5,0041,M,M,M,M
0.9,0041,M,M,M,M
1.3,0041,M,M,M,M
1.8,0041,M,M,M,M
2.4,0041,M,M,M,M
3.1,0041,M,M,M,M
4,0041,M,M,M,M
0.5,0046,M,M,M,M
0.9,0046,0.2,20,4.61,M
1.3,0046,0.24,21,4.8,M
1.8,0046,0.29,22,4.63,M
2.4,0046,0.33,22,4.26,M
3.1,0046,0.46,22,4.44,M
4,0046,0.6,19,4.26,M
0.5,0050,0.21,19,2.77,M
0.9,0050,0.27,18,3.15,M
1.3,0050,0.35,18,3.15,M
1.8,0050,0.47,17,4.07,M
2.4,0050,0.62,18,5.18,M
3.1,0050,0.81,18,5.37,M
4,0050,1.04,17,5.37,M
0.5,0055,0.28,13,3.15,M
0.9,0055,0.4,17,4.26,M
1.3,0055,0.56,16,4.63,M
1.8,0055,0.7,15,5.18,M
2.4,0055,0.94,13,5.18,M
3.1,0055,1.21,12,5.37,M
4,0055,1.56,13,6.48,M
